table_name,state_code,district_code,area_name,total_rural_urban,educational_level,metric,value,source_file,dataset_code
B0203SC,33,000,State - TAMIL NADU,Total,Total,Population_Persons,14438445.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Total,Illiterate,Population_Persons,5027324.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Total,Literate,Population_Persons,9411121.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Total,Literate but below matric/secondary,Population_Persons,5584689.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Total,Matric/secondary but below graduate,Population_Persons,2532922.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Total,Technical diploma or certificate not equal to degree,Population_Persons,240537.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Total,Graduate and above other than technical degree,Population_Persons,449006.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,152361.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Rural,Total,Population_Persons,9475475.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Rural,Illiterate,Population_Persons,3592440.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Rural,Literate,Population_Persons,5883035.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Rural,Literate but below matric/secondary,Population_Persons,3677699.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Rural,Matric/secondary but below graduate,Population_Persons,1520686.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Rural,Technical diploma or certificate not equal to degree,Population_Persons,142363.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Rural,Graduate and above other than technical degree,Population_Persons,202636.0,DDW-3300B-03SC.xlsx,03SC
B0203SC,33,000,State - TAMIL NADU,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,60826.0,DDW-3300B-03SC.xlsx,03SC
