table_name,state_code,district_code,area_name,total_rural_urban,age_group,metric,value,source_file,dataset_code
B0301ST,21,000,State - ODISHA (21),Total,Total,Population_Persons,9590756,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Total,5-14,Population_Persons,2350378,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Total,15-34,Population_Persons,3068658,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Total,35-59,Population_Persons,2365370,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Total,60+,Population_Persons,743156,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Total,Age not stated,Population_Persons,29068,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Total,15-59,Population_Persons,5434028,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Rural,Total,Population_Persons,8994967,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Rural,5-14,Population_Persons,2210924,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Rural,15-34,Population_Persons,2847171,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Rural,35-59,Population_Persons,2217317,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Rural,60+,Population_Persons,710756,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Rural,Age not stated,Population_Persons,27214,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Rural,15-59,Population_Persons,5064488,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Urban,Total,Population_Persons,595789,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Urban,5-14,Population_Persons,139454,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Urban,15-34,Population_Persons,221487,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Urban,35-59,Population_Persons,148053,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Urban,60+,Population_Persons,32400,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Urban,Age not stated,Population_Persons,1854,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,000,State - ODISHA (21),Urban,15-59,Population_Persons,369540,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Total,Total,Population_Persons,281135,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Total,5-14,Population_Persons,54937,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Total,15-34,Population_Persons,95793,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Total,35-59,Population_Persons,77990,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Total,60+,Population_Persons,28834,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Total,Age not stated,Population_Persons,303,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Total,15-59,Population_Persons,173783,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Rural,Total,Population_Persons,270996,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Rural,5-14,Population_Persons,52884,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Rural,15-34,Population_Persons,91990,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Rural,35-59,Population_Persons,75306,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Rural,60+,Population_Persons,28031,DDW-2100B-01ST-Census.xls,01ST
B0301ST,21,370,District - Bargarh (01),Rural,Age not stated,Population_Persons,300,DDW-2100B-01ST-Census.xls,01ST
