table_name,state_code,district_code,area_name,total_rural_urban,age_group,metric,value,source_file,dataset_code
B0301ST,23,000,State - MADHYA PRADESH (23),Total,Total,Population_Persons,15316784,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Total,5-14,Population_Persons,4130328,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Total,15-34,Population_Persons,4932666,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Total,35-59,Population_Persons,3325793,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Total,60+,Population_Persons,950143,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Total,Age not stated,Population_Persons,13599,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Total,15-59,Population_Persons,8258459,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Rural,Total,Population_Persons,14276874,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Rural,5-14,Population_Persons,3875305,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Rural,15-34,Population_Persons,4545531,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Rural,35-59,Population_Persons,3086357,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Rural,60+,Population_Persons,899099,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Rural,Age not stated,Population_Persons,12033,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Rural,15-59,Population_Persons,7631888,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Urban,Total,Population_Persons,1039910,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Urban,5-14,Population_Persons,255023,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Urban,15-34,Population_Persons,387135,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Urban,35-59,Population_Persons,239436,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Urban,60+,Population_Persons,51044,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Urban,Age not stated,Population_Persons,1566,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,000,State - MADHYA PRADESH (23),Urban,15-59,Population_Persons,626571,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Total,Total,Population_Persons,161448,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Total,5-14,Population_Persons,48397,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Total,15-34,Population_Persons,50238,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Total,35-59,Population_Persons,30381,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Total,60+,Population_Persons,6924,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Total,Age not stated,Population_Persons,94,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Total,15-59,Population_Persons,80619,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Rural,Total,Population_Persons,157227,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Rural,5-14,Population_Persons,47172,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Rural,15-34,Population_Persons,48708,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Rural,35-59,Population_Persons,29539,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Rural,60+,Population_Persons,6765,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Rural,Age not stated,Population_Persons,93,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Rural,15-59,Population_Persons,78247,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Urban,Total,Population_Persons,4221,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Urban,5-14,Population_Persons,1225,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Urban,15-34,Population_Persons,1530,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Urban,35-59,Population_Persons,842,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Urban,60+,Population_Persons,159,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Urban,Age not stated,Population_Persons,1,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,418,District - Sheopur  (01),Urban,15-59,Population_Persons,2372,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,419,District - Morena (02),Total,Total,Population_Persons,17030,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,419,District - Morena (02),Total,5-14,Population_Persons,5080,DDW-2300B-01ST-Census.xls,01ST
B0301ST,23,419,District - Morena (02),Total,15-34,Population_Persons,5654,DDW-2300B-01ST-Census.xls,01ST
