table_name,state_code,district_code,area_name,total_rural_urban,age_group,metric,value,source_file,dataset_code
B0301ST,02,000,State - HIMACHAL PRADESH (02),Total,Total,Population_Persons,392126,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Total,5-14,Population_Persons,75569,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Total,15-34,Population_Persons,139382,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Total,35-59,Population_Persons,104590,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Total,60+,Population_Persons,38258,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Total,Age not stated,Population_Persons,743,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Total,15-59,Population_Persons,243972,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Rural,Total,Population_Persons,374392,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Rural,5-14,Population_Persons,72640,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Rural,15-34,Population_Persons,132174,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Rural,35-59,Population_Persons,99301,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Rural,60+,Population_Persons,36978,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Rural,Age not stated,Population_Persons,725,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Rural,15-59,Population_Persons,231475,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Urban,Total,Population_Persons,17734,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Urban,5-14,Population_Persons,2929,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Urban,15-34,Population_Persons,7208,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Urban,35-59,Population_Persons,5289,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Urban,60+,Population_Persons,1280,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Urban,Age not stated,Population_Persons,18,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,000,State - HIMACHAL PRADESH (02),Urban,15-59,Population_Persons,12497,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Total,Total,Population_Persons,135500,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Total,5-14,Population_Persons,29163,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Total,15-34,Population_Persons,48838,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Total,35-59,Population_Persons,33549,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Total,60+,Population_Persons,11225,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Total,Age not stated,Population_Persons,124,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Total,15-59,Population_Persons,82387,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Rural,Total,Population_Persons,132907,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Rural,5-14,Population_Persons,28701,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Rural,15-34,Population_Persons,47857,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Rural,35-59,Population_Persons,32749,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Rural,60+,Population_Persons,11050,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Rural,Age not stated,Population_Persons,124,DDW-0200B-01ST-Census.xls,01ST
B0301ST,02,023,District - Chamba (01),Rural,15-59,Population_Persons,80606,DDW-0200B-01ST-Census.xls,01ST
