table_name,state_code,district_code,area_name,total_rural_urban,age_group,metric,value,source_file,dataset_code
B0301ST,33,000,State - TAMIL NADU (33),Total,Total,Population_Persons,794697,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Total,5-14,Population_Persons,164114,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Total,15-34,Population_Persons,278860,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Total,35-59,Population_Persons,221426,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Total,60+,Population_Persons,57118,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Total,Age not stated,Population_Persons,644,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Total,15-59,Population_Persons,500286,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Rural,Total,Population_Persons,660280,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Rural,5-14,Population_Persons,136910,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Rural,15-34,Population_Persons,229723,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Rural,35-59,Population_Persons,184309,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Rural,60+,Population_Persons,48258,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Rural,Age not stated,Population_Persons,535,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Rural,15-59,Population_Persons,414032,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Urban,Total,Population_Persons,134417,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Urban,5-14,Population_Persons,27204,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Urban,15-34,Population_Persons,49137,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Urban,35-59,Population_Persons,37117,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Urban,60+,Population_Persons,8860,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Urban,Age not stated,Population_Persons,109,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,000,State - TAMIL NADU (33),Urban,15-59,Population_Persons,86254,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Total,Total,Population_Persons,47243,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Total,5-14,Population_Persons,9802,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Total,15-34,Population_Persons,17058,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Total,35-59,Population_Persons,12695,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Total,60+,Population_Persons,2862,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Total,Age not stated,Population_Persons,37,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Total,15-59,Population_Persons,29753,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Rural,Total,Population_Persons,35044,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Rural,5-14,Population_Persons,7522,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Rural,15-34,Population_Persons,12397,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Rural,35-59,Population_Persons,9340,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Rural,60+,Population_Persons,2143,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Rural,Age not stated,Population_Persons,20,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Rural,15-59,Population_Persons,21737,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Urban,Total,Population_Persons,12199,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Urban,5-14,Population_Persons,2280,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Urban,15-34,Population_Persons,4661,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Urban,35-59,Population_Persons,3355,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Urban,60+,Population_Persons,719,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Urban,Age not stated,Population_Persons,17,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,602,District - Thiruvallur (01),Urban,15-59,Population_Persons,8016,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Total,Total,Population_Persons,10061,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Total,5-14,Population_Persons,1570,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Total,15-34,Population_Persons,3869,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Total,35-59,Population_Persons,3112,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Total,60+,Population_Persons,763,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Total,Age not stated,Population_Persons,5,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Total,15-59,Population_Persons,6981,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Rural,Total,Population_Persons,0,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Rural,5-14,Population_Persons,0,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Rural,15-34,Population_Persons,0,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Rural,35-59,Population_Persons,0,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Rural,60+,Population_Persons,0,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Rural,Age not stated,Population_Persons,0,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Rural,15-59,Population_Persons,0,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Urban,Total,Population_Persons,10061,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Urban,5-14,Population_Persons,1570,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Urban,15-34,Population_Persons,3869,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Urban,35-59,Population_Persons,3112,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Urban,60+,Population_Persons,763,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Urban,Age not stated,Population_Persons,5,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,603,District - Chennai (02),Urban,15-59,Population_Persons,6981,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Total,Total,Population_Persons,41210,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Total,5-14,Population_Persons,9147,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Total,15-34,Population_Persons,14547,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Total,35-59,Population_Persons,10708,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Total,60+,Population_Persons,2423,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Total,Age not stated,Population_Persons,56,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Total,15-59,Population_Persons,25255,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Rural,Total,Population_Persons,27057,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Rural,5-14,Population_Persons,6356,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Rural,15-34,Population_Persons,9171,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Rural,35-59,Population_Persons,6940,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Rural,60+,Population_Persons,1573,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Rural,Age not stated,Population_Persons,40,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Rural,15-59,Population_Persons,16111,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Urban,Total,Population_Persons,14153,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Urban,5-14,Population_Persons,2791,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Urban,15-34,Population_Persons,5376,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Urban,35-59,Population_Persons,3768,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Urban,60+,Population_Persons,850,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Urban,Age not stated,Population_Persons,16,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,604,District - Kancheepuram (03),Urban,15-59,Population_Persons,9144,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Total,Total,Population_Persons,72955,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Total,5-14,Population_Persons,15977,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Total,15-34,Population_Persons,25649,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Total,35-59,Population_Persons,19035,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Total,60+,Population_Persons,4920,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Total,Age not stated,Population_Persons,61,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Total,15-59,Population_Persons,44684,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Rural,Total,Population_Persons,65015,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Rural,5-14,Population_Persons,14414,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Rural,15-34,Population_Persons,22714,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Rural,35-59,Population_Persons,16878,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Rural,60+,Population_Persons,4343,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Rural,Age not stated,Population_Persons,59,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Rural,15-59,Population_Persons,39592,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Urban,Total,Population_Persons,7940,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Urban,5-14,Population_Persons,1563,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Urban,15-34,Population_Persons,2935,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Urban,35-59,Population_Persons,2157,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Urban,60+,Population_Persons,577,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Urban,Age not stated,Population_Persons,2,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,605,District - Vellore (04),Urban,15-59,Population_Persons,5092,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Total,Total,Population_Persons,90954,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Total,5-14,Population_Persons,19813,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Total,15-34,Population_Persons,32297,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Total,35-59,Population_Persons,23966,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Total,60+,Population_Persons,6038,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Total,Age not stated,Population_Persons,70,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Total,15-59,Population_Persons,56263,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Rural,Total,Population_Persons,86775,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Rural,5-14,Population_Persons,18959,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Rural,15-34,Population_Persons,30794,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Rural,35-59,Population_Persons,22851,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Rural,60+,Population_Persons,5719,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Rural,Age not stated,Population_Persons,70,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Rural,15-59,Population_Persons,53645,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Urban,Total,Population_Persons,4179,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Urban,5-14,Population_Persons,854,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Urban,15-34,Population_Persons,1503,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Urban,35-59,Population_Persons,1115,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Urban,60+,Population_Persons,319,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Urban,Age not stated,Population_Persons,0,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,606,District - Tiruvannamalai (05),Urban,15-59,Population_Persons,2618,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Total,Total,Population_Persons,74859,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Total,5-14,Population_Persons,16641,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Total,15-34,Population_Persons,26422,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Total,35-59,Population_Persons,19556,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Total,60+,Population_Persons,4749,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Total,Age not stated,Population_Persons,38,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Total,15-59,Population_Persons,45978,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Rural,Total,Population_Persons,71370,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Rural,5-14,Population_Persons,15603,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Rural,15-34,Population_Persons,25230,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Rural,35-59,Population_Persons,18764,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Rural,60+,Population_Persons,4552,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Rural,Age not stated,Population_Persons,38,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Rural,15-59,Population_Persons,43994,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Urban,Total,Population_Persons,3489,DDW-3300B-01ST-Census.xls,01ST
B0301ST,33,607,District - Viluppuram (06),Urban,5-14,Population_Persons,1038,DDW-3300B-01ST-Census.xls,01ST
