table_name,state_code,district_code,area_name,total_rural_urban,age_group,metric,value,source_file,dataset_code
B0201SC,33,000,State - TAMIL NADU (33),Total,Total,Population_Persons,14438445,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Total,5-14,Population_Persons,2596041,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Total,15-34,Population_Persons,5283733,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Total,35-59,Population_Persons,4224364,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Total,60+,Population_Persons,1189874,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Total,Age not stated,Population_Persons,12925,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Total,15-59,Population_Persons,9508097,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Rural,Total,Population_Persons,9475475,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Rural,5-14,Population_Persons,1738261,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Rural,15-34,Population_Persons,3407578,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Rural,35-59,Population_Persons,2739659,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Rural,60+,Population_Persons,825828,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Rural,Age not stated,Population_Persons,8817,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Rural,15-59,Population_Persons,6147237,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Urban,Total,Population_Persons,4962970,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Urban,5-14,Population_Persons,857780,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Urban,15-34,Population_Persons,1876155,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Urban,35-59,Population_Persons,1484705,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Urban,60+,Population_Persons,364046,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Urban,Age not stated,Population_Persons,4108,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,000,State - TAMIL NADU (33),Urban,15-59,Population_Persons,3360860,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Total,Total,Population_Persons,821646,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Total,5-14,Population_Persons,140796,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Total,15-34,Population_Persons,318239,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Total,35-59,Population_Persons,240344,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Total,60+,Population_Persons,54993,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Total,Age not stated,Population_Persons,806,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Total,15-59,Population_Persons,558583,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Rural,Total,Population_Persons,451999,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Rural,5-14,Population_Persons,80086,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Rural,15-34,Population_Persons,172082,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Rural,35-59,Population_Persons,130755,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Rural,60+,Population_Persons,32122,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Rural,Age not stated,Population_Persons,440,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Rural,15-59,Population_Persons,302837,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Urban,Total,Population_Persons,369647,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Urban,5-14,Population_Persons,60710,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Urban,15-34,Population_Persons,146157,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Urban,35-59,Population_Persons,109589,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Urban,60+,Population_Persons,22871,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Urban,Age not stated,Population_Persons,366,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,602,District - Thiruvallur (01),Urban,15-59,Population_Persons,255746,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Total,Total,Population_Persons,779667,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Total,5-14,Population_Persons,127089,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Total,15-34,Population_Persons,311830,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Total,35-59,Population_Persons,229955,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Total,60+,Population_Persons,49357,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Total,Age not stated,Population_Persons,1055,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Total,15-59,Population_Persons,541785,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Rural,Total,Population_Persons,0,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Rural,5-14,Population_Persons,0,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Rural,15-34,Population_Persons,0,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Rural,35-59,Population_Persons,0,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Rural,60+,Population_Persons,0,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Rural,Age not stated,Population_Persons,0,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Rural,15-59,Population_Persons,0,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Urban,Total,Population_Persons,779667,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Urban,5-14,Population_Persons,127089,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Urban,15-34,Population_Persons,311830,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Urban,35-59,Population_Persons,229955,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Urban,60+,Population_Persons,49357,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Urban,Age not stated,Population_Persons,1055,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,603,District - Chennai (02),Urban,15-59,Population_Persons,541785,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Total,Total,Population_Persons,948081,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Total,5-14,Population_Persons,162098,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Total,15-34,Population_Persons,374837,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Total,35-59,Population_Persons,266708,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Total,60+,Population_Persons,66898,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Total,Age not stated,Population_Persons,1181,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Total,15-59,Population_Persons,641545,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Rural,Total,Population_Persons,550997,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Rural,5-14,Population_Persons,95956,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Rural,15-34,Population_Persons,215186,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Rural,35-59,Population_Persons,152677,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Rural,60+,Population_Persons,42398,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Rural,Age not stated,Population_Persons,812,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Rural,15-59,Population_Persons,367863,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Urban,Total,Population_Persons,397084,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Urban,5-14,Population_Persons,66142,DDW-3300B-01SC-Census.xls,01SC
B0201SC,33,604,District - Kancheepuram (03),Urban,15-34,Population_Persons,159651,DDW-3300B-01SC-Census.xls,01SC
