table_name,state_code,district_code,area_name,total_rural_urban,educational_level,metric,value,source_file,dataset_code
B0303ST,23,000,State - MADHYA PRADESH,Total,Total,Population_Persons,15316784.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Total,Illiterate,Population_Persons,9003123.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Total,Literate,Population_Persons,6313661.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Total,Literate but below matric/secondary,Population_Persons,5334202.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Total,Matric/secondary but below graduate,Population_Persons,546610.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Total,Technical diploma or certificate not equal to degree,Population_Persons,4930.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Total,Graduate and above other than technical degree,Population_Persons,111588.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,9786.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Rural,Total,Population_Persons,14276874.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Rural,Illiterate,Population_Persons,8553425.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Rural,Literate,Population_Persons,5723449.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Rural,Literate but below matric/secondary,Population_Persons,4944115.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Rural,Matric/secondary but below graduate,Population_Persons,424794.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Rural,Technical diploma or certificate not equal to degree,Population_Persons,2030.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Rural,Graduate and above other than technical degree,Population_Persons,65433.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,3619.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Urban,Total,Population_Persons,1039910.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Urban,Illiterate,Population_Persons,449698.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Urban,Literate,Population_Persons,590212.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Urban,Literate but below matric/secondary,Population_Persons,390087.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Urban,Matric/secondary but below graduate,Population_Persons,121816.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Urban,Technical diploma or certificate not equal to degree,Population_Persons,2900.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Urban,Graduate and above other than technical degree,Population_Persons,46155.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,000,State - MADHYA PRADESH,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,6167.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,418,District - Sheopur ,Total,Total,Population_Persons,161448.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,418,District - Sheopur ,Total,Illiterate,Population_Persons,110388.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,418,District - Sheopur ,Total,Literate,Population_Persons,51060.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,418,District - Sheopur ,Total,Literate but below matric/secondary,Population_Persons,47055.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,418,District - Sheopur ,Total,Matric/secondary but below graduate,Population_Persons,1445.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,418,District - Sheopur ,Total,Technical diploma or certificate not equal to degree,Population_Persons,4.0,DDW-2300B-03ST.xlsx,03ST
B0303ST,23,418,District - Sheopur ,Total,Graduate and above other than technical degree,Population_Persons,180.0,DDW-2300B-03ST.xlsx,03ST
