table_name,state_code,district_code,area_name,total_rural_urban,educational_level,metric,value,source_file,dataset_code
B0303ST,21,000,State - ODISHA,Total,Total,Population_Persons,9590756.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Total,Illiterate,Population_Persons,5375126.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Total,Literate,Population_Persons,4215630.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Total,Literate but below matric/secondary,Population_Persons,3506910.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Total,Matric/secondary but below graduate,Population_Persons,446291.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Total,Technical diploma or certificate not equal to degree,Population_Persons,16264.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Total,Graduate and above other than technical degree,Population_Persons,52451.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,12408.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Rural,Total,Population_Persons,8994967.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Rural,Illiterate,Population_Persons,5136873.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Rural,Literate,Population_Persons,3858094.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Rural,Literate but below matric/secondary,Population_Persons,3267423.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Rural,Matric/secondary but below graduate,Population_Persons,367285.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Rural,Technical diploma or certificate not equal to degree,Population_Persons,10138.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Rural,Graduate and above other than technical degree,Population_Persons,34587.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,8944.0,DDW-2100B-03ST.xlsx,03ST
B0303ST,21,000,State - ODISHA,Urban,Total,Population_Persons,595789.0,DDW-2100B-03ST.xlsx,03ST
