table_name,state_code,district_code,area_name,total_rural_urban,educational_level,metric,value,source_file,dataset_code
B0203SC,25,000,State - DAMAN & DIU,Total,Total,Population_Persons,6124.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Total,Illiterate,Population_Persons,1021.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Total,Literate,Population_Persons,5103.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Total,Literate but below matric/secondary,Population_Persons,2488.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Total,Matric/secondary but below graduate,Population_Persons,1922.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Total,Technical diploma or certificate not equal to degree,Population_Persons,146.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Total,Graduate and above other than technical degree,Population_Persons,290.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,87.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Rural,Total,Population_Persons,2167.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Rural,Illiterate,Population_Persons,321.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Rural,Literate,Population_Persons,1846.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Rural,Literate but below matric/secondary,Population_Persons,875.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Rural,Matric/secondary but below graduate,Population_Persons,727.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Rural,Technical diploma or certificate not equal to degree,Population_Persons,60.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Rural,Graduate and above other than technical degree,Population_Persons,88.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,34.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Urban,Total,Population_Persons,3957.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Urban,Illiterate,Population_Persons,700.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Urban,Literate,Population_Persons,3257.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Urban,Literate but below matric/secondary,Population_Persons,1613.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Urban,Matric/secondary but below graduate,Population_Persons,1195.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Urban,Technical diploma or certificate not equal to degree,Population_Persons,86.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Urban,Graduate and above other than technical degree,Population_Persons,202.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,000,State - DAMAN & DIU,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,53.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Total,Total,Population_Persons,1862.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Total,Illiterate,Population_Persons,392.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Total,Literate,Population_Persons,1470.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Total,Literate but below matric/secondary,Population_Persons,752.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Total,Matric/secondary but below graduate,Population_Persons,526.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Total,Technical diploma or certificate not equal to degree,Population_Persons,37.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Total,Graduate and above other than technical degree,Population_Persons,100.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,26.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Rural,Total,Population_Persons,493.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Rural,Illiterate,Population_Persons,126.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Rural,Literate,Population_Persons,367.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Rural,Literate but below matric/secondary,Population_Persons,197.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Rural,Matric/secondary but below graduate,Population_Persons,136.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Rural,Technical diploma or certificate not equal to degree,Population_Persons,10.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Rural,Graduate and above other than technical degree,Population_Persons,20.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,2.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Urban,Total,Population_Persons,1369.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Urban,Illiterate,Population_Persons,266.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Urban,Literate,Population_Persons,1103.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Urban,Literate but below matric/secondary,Population_Persons,555.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Urban,Matric/secondary but below graduate,Population_Persons,390.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Urban,Technical diploma or certificate not equal to degree,Population_Persons,27.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Urban,Graduate and above other than technical degree,Population_Persons,80.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,494,District - Diu,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,24.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,495,District - Daman,Total,Total,Population_Persons,4262.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,495,District - Daman,Total,Illiterate,Population_Persons,629.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,495,District - Daman,Total,Literate,Population_Persons,3633.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,495,District - Daman,Total,Literate but below matric/secondary,Population_Persons,1736.0,DDW-2500B-03SC.xlsx,03SC
B0203SC,25,495,District - Daman,Total,Matric/secondary but below graduate,Population_Persons,1396.0,DDW-2500B-03SC.xlsx,03SC
