table_name,state_code,district_code,area_name,total_rural_urban,educational_level,metric,value,source_file,dataset_code
B0303ST,31,000,State - LAKSHADWEEP,Total,Total,Population_Persons,61120.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Illiterate,Population_Persons,11544.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Literate,Population_Persons,49576.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Literate but below matric/secondary,Population_Persons,31948.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Matric/secondary but below graduate,Population_Persons,12262.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Technical diploma or certificate not equal to degree,Population_Persons,800.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Graduate and above other than technical degree,Population_Persons,1318.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,668.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Total,Population_Persons,13463.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Illiterate,Population_Persons,2746.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Literate,Population_Persons,10717.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Literate but below matric/secondary,Population_Persons,7024.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Matric/secondary but below graduate,Population_Persons,2396.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Technical diploma or certificate not equal to degree,Population_Persons,250.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Graduate and above other than technical degree,Population_Persons,196.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,126.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Total,Population_Persons,47657.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Illiterate,Population_Persons,8798.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Literate,Population_Persons,38859.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Literate but below matric/secondary,Population_Persons,24924.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Matric/secondary but below graduate,Population_Persons,9866.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Technical diploma or certificate not equal to degree,Population_Persons,550.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Graduate and above other than technical degree,Population_Persons,1122.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,542.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Total,Population_Persons,61120.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Illiterate,Population_Persons,11544.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Literate,Population_Persons,49576.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Literate but below matric/secondary,Population_Persons,31948.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Matric/secondary but below graduate,Population_Persons,12262.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Technical diploma or certificate not equal to degree,Population_Persons,800.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Graduate and above other than technical degree,Population_Persons,1318.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,668.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Total,Population_Persons,13463.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Illiterate,Population_Persons,2746.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Literate,Population_Persons,10717.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Literate but below matric/secondary,Population_Persons,7024.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Matric/secondary but below graduate,Population_Persons,2396.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Technical diploma or certificate not equal to degree,Population_Persons,250.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Graduate and above other than technical degree,Population_Persons,196.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,126.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Total,Population_Persons,47657.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Illiterate,Population_Persons,8798.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Literate,Population_Persons,38859.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Literate but below matric/secondary,Population_Persons,24924.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Matric/secondary but below graduate,Population_Persons,9866.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Technical diploma or certificate not equal to degree,Population_Persons,550.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Graduate and above other than technical degree,Population_Persons,1122.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,542.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Total,Population_Males,30515.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Illiterate,Population_Males,4854.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Literate,Population_Males,25661.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Literate but below matric/secondary,Population_Males,15734.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Matric/secondary but below graduate,Population_Males,7064.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Technical diploma or certificate not equal to degree,Population_Males,502.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Graduate and above other than technical degree,Population_Males,801.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Males,423.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Total,Population_Males,6752.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Illiterate,Population_Males,1228.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Literate,Population_Males,5524.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Literate but below matric/secondary,Population_Males,3412.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Matric/secondary but below graduate,Population_Males,1378.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Technical diploma or certificate not equal to degree,Population_Males,156.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Graduate and above other than technical degree,Population_Males,145.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Males,82.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Total,Population_Males,23763.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Illiterate,Population_Males,3626.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Literate,Population_Males,20137.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Literate but below matric/secondary,Population_Males,12322.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Matric/secondary but below graduate,Population_Males,5686.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Technical diploma or certificate not equal to degree,Population_Males,346.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Graduate and above other than technical degree,Population_Males,656.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Males,341.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Total,Population_Males,30515.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Illiterate,Population_Males,4854.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Literate,Population_Males,25661.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Literate but below matric/secondary,Population_Males,15734.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Matric/secondary but below graduate,Population_Males,7064.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Technical diploma or certificate not equal to degree,Population_Males,502.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Graduate and above other than technical degree,Population_Males,801.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Males,423.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Total,Population_Males,6752.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Illiterate,Population_Males,1228.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Literate,Population_Males,5524.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Literate but below matric/secondary,Population_Males,3412.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Matric/secondary but below graduate,Population_Males,1378.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Technical diploma or certificate not equal to degree,Population_Males,156.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Graduate and above other than technical degree,Population_Males,145.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Males,82.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Total,Population_Males,23763.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Illiterate,Population_Males,3626.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Literate,Population_Males,20137.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Literate but below matric/secondary,Population_Males,12322.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Matric/secondary but below graduate,Population_Males,5686.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Technical diploma or certificate not equal to degree,Population_Males,346.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Graduate and above other than technical degree,Population_Males,656.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,587,District - Lakshadweep,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Males,341.0,DDW-3100B-03ST.xlsx,03ST
B0303ST,31,000,State - LAKSHADWEEP,Total,Total,Population_Females,30605.0,DDW-3100B-03ST.xlsx,03ST
