table_name,state_code,district_code,area_name,total_rural_urban,educational_level,metric,value,source_file,dataset_code
B0303ST,13,000,State - NAGALAND,Total,Total,Population_Persons,1710973.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Total,Illiterate,Population_Persons,544999.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Total,Literate,Population_Persons,1165974.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Total,Literate but below matric/secondary,Population_Persons,790552.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Total,Matric/secondary but below graduate,Population_Persons,228140.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Total,Technical diploma or certificate not equal to degree,Population_Persons,4247.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Total,Graduate and above other than technical degree,Population_Persons,68264.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,7062.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Rural,Total,Population_Persons,1306838.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Rural,Illiterate,Population_Persons,466668.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Rural,Literate,Population_Persons,840170.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Rural,Literate but below matric/secondary,Population_Persons,609644.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Rural,Matric/secondary but below graduate,Population_Persons,140116.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Rural,Technical diploma or certificate not equal to degree,Population_Persons,1937.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Rural,Graduate and above other than technical degree,Population_Persons,33691.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,2926.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Urban,Total,Population_Persons,404135.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Urban,Illiterate,Population_Persons,78331.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Urban,Literate,Population_Persons,325804.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Urban,Literate but below matric/secondary,Population_Persons,180908.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Urban,Matric/secondary but below graduate,Population_Persons,88024.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Urban,Technical diploma or certificate not equal to degree,Population_Persons,2310.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Urban,Graduate and above other than technical degree,Population_Persons,34573.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,000,State - NAGALAND,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,4136.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,261,District - Mon,Total,Total,Population_Persons,238285.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,261,District - Mon,Total,Illiterate,Population_Persons,125622.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,261,District - Mon,Total,Literate,Population_Persons,112663.0,DDW-1300B-03ST.xlsx,03ST
B0303ST,13,261,District - Mon,Total,Literate but below matric/secondary,Population_Persons,88806.0,DDW-1300B-03ST.xlsx,03ST
