table_name,state_code,district_code,area_name,total_rural_urban,educational_level,metric,value,source_file,dataset_code
B0203SC,08,000,State - RAJASTHAN,Total,Total,Population_Persons,12221593.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Total,Illiterate,Population_Persons,6131528.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Total,Literate,Population_Persons,6090065.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Total,Literate but below matric/secondary,Population_Persons,4689854.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Total,Matric/secondary but below graduate,Population_Persons,801258.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Total,Technical diploma or certificate not equal to degree,Population_Persons,22187.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Total,Graduate and above other than technical degree,Population_Persons,205338.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,58641.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Rural,Total,Population_Persons,9536963.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Rural,Illiterate,Population_Persons,5020293.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Rural,Literate,Population_Persons,4516670.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Rural,Literate but below matric/secondary,Population_Persons,3610731.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Rural,Matric/secondary but below graduate,Population_Persons,519638.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Rural,Technical diploma or certificate not equal to degree,Population_Persons,13561.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Rural,Graduate and above other than technical degree,Population_Persons,105547.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,33788.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Urban,Total,Population_Persons,2684630.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Urban,Illiterate,Population_Persons,1111235.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Urban,Literate,Population_Persons,1573395.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Urban,Literate but below matric/secondary,Population_Persons,1079123.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Urban,Matric/secondary but below graduate,Population_Persons,281620.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Urban,Technical diploma or certificate not equal to degree,Population_Persons,8626.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Urban,Graduate and above other than technical degree,Population_Persons,99791.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,000,State - RAJASTHAN,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,24853.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Total,Total,Population_Persons,720412.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Total,Illiterate,Population_Persons,373847.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Total,Literate,Population_Persons,346565.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Total,Literate but below matric/secondary,Population_Persons,283217.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Total,Matric/secondary but below graduate,Population_Persons,38238.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Total,Technical diploma or certificate not equal to degree,Population_Persons,789.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Total,Graduate and above other than technical degree,Population_Persons,6907.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,1869.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Rural,Total,Population_Persons,598772.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Rural,Illiterate,Population_Persons,314549.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Rural,Literate,Population_Persons,284223.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Rural,Literate but below matric/secondary,Population_Persons,237413.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Rural,Matric/secondary but below graduate,Population_Persons,28051.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Rural,Technical diploma or certificate not equal to degree,Population_Persons,548.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Rural,Graduate and above other than technical degree,Population_Persons,3961.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,1156.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Urban,Total,Population_Persons,121640.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Urban,Illiterate,Population_Persons,59298.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Urban,Literate,Population_Persons,62342.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Urban,Literate but below matric/secondary,Population_Persons,45804.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Urban,Matric/secondary but below graduate,Population_Persons,10187.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Urban,Technical diploma or certificate not equal to degree,Population_Persons,241.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Urban,Graduate and above other than technical degree,Population_Persons,2946.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,099,District - Ganganagar ,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,713.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Total,Total,Population_Persons,494189.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Total,Illiterate,Population_Persons,260541.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Total,Literate,Population_Persons,233648.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Total,Literate but below matric/secondary,Population_Persons,182136.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Total,Matric/secondary but below graduate,Population_Persons,27363.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Total,Technical diploma or certificate not equal to degree,Population_Persons,558.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Total,Graduate and above other than technical degree,Population_Persons,4721.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,1432.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Rural,Total,Population_Persons,435504.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Rural,Illiterate,Population_Persons,231693.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Rural,Literate,Population_Persons,203811.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Rural,Literate but below matric/secondary,Population_Persons,162721.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Rural,Matric/secondary but below graduate,Population_Persons,22340.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Rural,Technical diploma or certificate not equal to degree,Population_Persons,438.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Rural,Graduate and above other than technical degree,Population_Persons,3217.0,DDW-0800B-03SC.xlsx,03SC
B0203SC,08,100,District - Hanumangarh,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,1041.0,DDW-0800B-03SC.xlsx,03SC
