table_name,state_code,district_code,area_name,total_rural_urban,age_group,metric,value,source_file,dataset_code
B0201SC,20,000,State - JHARKHAND (20),Total,Total,Population_Persons,3985644,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Total,5-14,Population_Persons,1089859,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Total,15-34,Population_Persons,1304996,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Total,35-59,Population_Persons,842273,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Total,60+,Population_Persons,247480,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Total,Age not stated,Population_Persons,12520,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Total,15-59,Population_Persons,2147269,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Rural,Total,Population_Persons,3152863,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Rural,5-14,Population_Persons,887619,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Rural,15-34,Population_Persons,994612,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Rural,35-59,Population_Persons,653280,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Rural,60+,Population_Persons,207653,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Rural,Age not stated,Population_Persons,5637,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Rural,15-59,Population_Persons,1647892,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Urban,Total,Population_Persons,832781,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Urban,5-14,Population_Persons,202240,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Urban,15-34,Population_Persons,310384,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Urban,35-59,Population_Persons,188993,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Urban,60+,Population_Persons,39827,DDW-2000B-01SC-Census.xls,01SC
B0201SC,20,000,State - JHARKHAND (20),Urban,Age not stated,Population_Persons,6883,DDW-2000B-01SC-Census.xls,01SC
