table_name,state_code,district_code,area_name,total_rural_urban,age_group,metric,value,source_file,dataset_code
B0301ST,13,000,State - NAGALAND (13),Total,Total,Population_Persons,1710973,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Total,5-14,Population_Persons,427129,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Total,15-34,Population_Persons,652037,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Total,35-59,Population_Persons,364910,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Total,60+,Population_Persons,93714,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Total,Age not stated,Population_Persons,1317,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Total,15-59,Population_Persons,1016947,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Rural,Total,Population_Persons,1306838,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Rural,5-14,Population_Persons,331797,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Rural,15-34,Population_Persons,479805,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Rural,35-59,Population_Persons,279518,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Rural,60+,Population_Persons,77893,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Rural,Age not stated,Population_Persons,1177,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Rural,15-59,Population_Persons,759323,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Urban,Total,Population_Persons,404135,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Urban,5-14,Population_Persons,95332,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Urban,15-34,Population_Persons,172232,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Urban,35-59,Population_Persons,85392,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Urban,60+,Population_Persons,15821,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Urban,Age not stated,Population_Persons,140,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,000,State - NAGALAND (13),Urban,15-59,Population_Persons,257624,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,261,District - Mon (01),Total,Total,Population_Persons,238285,DDW-1300B-01ST-Census.xls,01ST
B0301ST,13,261,District - Mon (01),Total,5-14,Population_Persons,63658,DDW-1300B-01ST-Census.xls,01ST
